style_function,response1,response2,match
ALL CAPS,0.22736418511066397,0.37424547283702214,0.8531187122736419
Blockquotes,0.0,0.0,1.0
Bullets,0.07243460764587525,0.23541247484909456,0.8370221327967807
Code Formatting,0.05432595573440644,0.10865191146881288,0.9456740442655935
Emojis,0.004024144869215292,0.004024144869215292,1.0
Exclamations,0.026156941649899398,0.10663983903420524,0.9195171026156942
First-Person Pronouns,0.36619718309859156,0.5010060362173038,0.8651911468812877
Greeting (Start),0.012072434607645875,0.012072434607645875,1.0
Header/Title,0.026156941649899398,0.05835010060362173,0.9678068410462777
Links,0.0,0.008048289738430584,0.9919517102615694
List,0.3299798792756539,0.5714285714285714,0.7585513078470825
Long Sentences,0.10462776659959759,0.1891348088531187,0.903420523138833
Markdown,0.46680080482897385,0.641851106639839,0.8249496981891348
Math Symbols,0.6277665995975855,0.772635814889336,0.8551307847082495
Numbered Steps,0.04426559356136821,0.096579476861167,0.9476861167002012
Parentheses,0.7243460764587525,0.5110663983903421,0.7867203219315896
Questions,0.11871227364185111,0.1891348088531187,0.9295774647887324
Repetition,0.96579476861167,0.96579476861167,1.0
Sign-off (End),0.0,0.0,1.0
Starts with List,0.08651911468812877,0.08651911468812877,1.0
