style_function,response1,response2,match
ALL CAPS,0.3103448275862069,0.19066937119675456,0.8194726166328601
Blockquotes,0.0,0.0,1.0
Bullets,0.058823529411764705,0.06288032454361055,0.9026369168356998
Code Formatting,0.0872210953346856,0.036511156186612576,0.9452332657200812
Emojis,0.002028397565922921,0.002028397565922921,1.0
Exclamations,0.2434077079107505,0.13387423935091278,0.8093306288032455
First-Person Pronouns,0.27586206896551724,0.2535496957403651,0.7910750507099391
Greeting (Start),0.034482758620689655,0.02231237322515213,0.9797160243407708
Header/Title,0.08113590263691683,0.08113590263691683,0.8985801217038539
Links,0.008113590263691683,0.0,0.9918864097363083
List,0.2880324543610548,0.24949290060851928,0.7018255578093306
Long Sentences,0.35699797160243407,0.15415821501014199,0.6592292089249493
Markdown,0.385395537525355,0.29411764705882354,0.7099391480730223
Math Symbols,0.6105476673427992,0.46247464503042596,0.6369168356997972
Numbered Steps,0.030425963488843813,0.06896551724137931,0.9127789046653144
Parentheses,0.2961460446247465,0.6693711967545639,0.6024340770791075
Questions,0.0973630831643002,0.08519269776876268,0.9269776876267748
Repetition,0.9432048681541582,0.9553752535496958,0.9513184584178499
Sign-off (End),0.002028397565922921,0.0,0.9979716024340771
Starts with List,0.02636916835699797,0.030425963488843813,0.9797160243407708
