style_function,response1,response2,match
ALL CAPS,0.22764227642276422,0.34146341463414637,0.7886178861788617
Blockquotes,0.0,0.0020325203252032522,0.9979674796747967
Bullets,0.07113821138211382,0.03861788617886179,0.9105691056910569
Code Formatting,0.054878048780487805,0.09349593495934959,0.9573170731707317
Emojis,0.0040650406504065045,0.006097560975609756,0.9979674796747967
Exclamations,0.026422764227642278,0.21747967479674796,0.7886178861788617
First-Person Pronouns,0.3638211382113821,0.4146341463414634,0.6971544715447154
Greeting (Start),0.012195121951219513,0.026422764227642278,0.9817073170731707
Header/Title,0.026422764227642278,0.024390243902439025,0.9654471544715447
Links,0.0,0.016260162601626018,0.983739837398374
List,0.3313008130081301,0.3678861788617886,0.6991869918699187
Long Sentences,0.1016260162601626,0.2540650406504065,0.733739837398374
Markdown,0.46747967479674796,0.2459349593495935,0.676829268292683
Math Symbols,0.6300813008130082,0.6544715447154471,0.6910569105691057
Numbered Steps,0.044715447154471545,0.3008130081300813,0.6991869918699187
Parentheses,0.7215447154471545,0.4491869918699187,0.6138211382113821
Questions,0.11991869918699187,0.08130081300813008,0.9085365853658537
Repetition,0.9654471544715447,0.9939024390243902,0.967479674796748
Sign-off (End),0.0,0.0040650406504065045,0.9959349593495935
Starts with List,0.08943089430894309,0.06300813008130081,0.8882113821138211
